date,dew,temp,press,wnd_spd,snow,rain,pollution
2010-01-02 00:00:00,-16,-4.0,1020.0,1.79,0,0,129.0
2010-01-02 01:00:00,-15,-4.0,1020.0,2.68,0,0,148.0
2010-01-02 02:00:00,-11,-5.0,1021.0,3.57,0,0,159.0
2010-01-02 03:00:00,-7,-5.0,1022.0,5.36,1,0,181.0
2010-01-02 04:00:00,-7,-5.0,1022.0,6.25,2,0,138.0
2010-01-02 05:00:00,-7,-6.0,1022.0,7.14,3,0,109.0
2010-01-02 06:00:00,-7,-6.0,1023.0,8.93,4,0,105.0
2010-01-02 07:00:00,-7,-5.0,1024.0,10.72,0,0,124.0
2010-01-02 08:00:00,-8,-6.0,1024.0,12.51,0,0,120.0
2010-01-02 09:00:00,-7,-5.0,1025.0,14.3,0,0,132.0
2010-01-02 10:00:00,-7,-5.0,1026.0,17.43,1,0,140.0
2010-01-02 11:00:00,-8,-5.0,1026.0,20.56,0,0,152.0
2010-01-02 12:00:00,-8,-5.0,1026.0,23.69,0,0,148.0
2010-01-02 13:00:00,-8,-5.0,1025.0,27.71,0,0,164.0
2010-01-02 14:00:00,-9,-5.0,1025.0,31.73,0,0,158.0
2010-01-02 15:00:00,-9,-5.0,1025.0,35.75,0,0,154.0
2010-01-02 16:00:00,-9,-5.0,1026.0,37.54,0,0,159.0
2010-01-02 17:00:00,-8,-5.0,1027.0,39.33,0,0,164.0
2010-01-02 18:00:00,-8,-5.0,1027.0,42.46,0,0,170.0
2010-01-02 19:00:00,-8,-5.0,1028.0,44.25,0,0,149.0
2010-01-02 20:00:00,-7,-5.0,1028.0,46.04,0,0,154.0
2010-01-02 21:00:00,-7,-5.0,1027.0,49.17,1,0,164.0
2010-01-02 22:00:00,-8,-6.0,1028.0,52.3,2,0,156.0
2010-01-02 23:00:00,-8,-6.0,1027.0,55.43,3,0,126.0
2010-01-03 00:00:00,-7,-6.0,1027.0,58.56,4,0,90.0
2010-01-03 01:00:00,-8,-6.0,1026.0,61.69,5,0,63.0
2010-01-03 02:00:00,-8,-7.0,1026.0,65.71,6,0,65.0
2010-01-03 03:00:00,-8,-7.0,1025.0,68.84,7,0,55.0
2010-01-03 04:00:00,-8,-7.0,1024.0,72.86,8,0,65.0
2010-01-03 05:00:00,-9,-8.0,1024.0,76.88,9,0,83.0
2010-01-03 06:00:00,-10,-8.0,1024.0,80.9,10,0,91.0
2010-01-03 07:00:00,-10,-9.0,1024.0,84.92,11,0,86.0
2010-01-03 08:00:00,-10,-9.0,1024.0,89.84,12,0,82.0
2010-01-03 09:00:00,-11,-9.0,1023.0,93.86,13,0,86.0
2010-01-03 10:00:00,-11,-9.0,1023.0,97.88,15,0,78.0
2010-01-03 11:00:00,-11,-9.0,1022.0,102.8,16,0,98.0
2010-01-03 12:00:00,-11,-9.0,1021.0,105.93,17,0,107.0
2010-01-03 13:00:00,-11,-9.0,1020.0,111.74,19,0,90.0
2010-01-03 14:00:00,-11,-9.0,1020.0,116.66,20,0,96.0
2010-01-03 15:00:00,-11,-9.0,1020.0,121.58,21,0,95.0
2010-01-03 16:00:00,-11,-9.0,1020.0,124.71,22,0,86.0
2010-01-03 17:00:00,-11,-9.0,1020.0,127.84,23,0,70.0
2010-01-03 18:00:00,-11,-9.0,1021.0,0.89,24,0,61.0
2010-01-03 19:00:00,-11,-9.0,1022.0,1.78,25,0,53.0
2010-01-03 20:00:00,-10,-9.0,1022.0,4.02,26,0,71.0
2010-01-03 21:00:00,-11,-10.0,1023.0,7.15,27,0,72.0
2010-01-03 22:00:00,-11,-9.0,1023.0,11.17,0,0,76.0
2010-01-03 23:00:00,-12,-11.0,1023.0,14.3,0,0,73.0
2010-01-04 00:00:00,-14,-12.0,1023.0,16.09,0,0,79.0
2010-01-04 01:00:00,-16,-9.0,1023.0,21.9,0,0,58.0
2010-01-04 02:00:00,-17,-10.0,1024.0,29.95,0,0,25.0
2010-01-04 03:00:00,-18,-11.0,1024.0,39.78,0,0,26.0
2010-01-04 04:00:00,-19,-11.0,1025.0,48.72,0,0,28.0
2010-01-04 05:00:00,-20,-12.0,1026.0,55.87,0,0,26.0
2010-01-04 06:00:00,-21,-12.0,1027.0,64.81,0,0,20.0
