date,ART,TPS
2015-01-01 06:00:00,0.040652,72
2015-01-01 06:10:00,0.029742,234
2015-01-01 06:20:00,0.027795,256
2015-01-01 06:30:00,0.041529,178
2015-01-01 06:40:00,0.029053,356
2015-01-01 06:50:00,0.027905,349
2015-01-01 07:00:00,0.036553,460
2015-01-01 07:10:00,0.025745,563
2015-01-01 07:20:00,0.054337,653
2015-01-01 07:30:00,0.038327,721
2015-01-01 07:40:00,0.027604,1112
2015-01-01 07:50:00,0.040363,1599
2015-01-01 08:00:00,0.02641,1967
2015-01-01 08:10:00,0.030377,3101
2015-01-01 08:20:00,0.038193,4227
2015-01-01 08:30:00,0.028553,6088
2015-01-01 08:40:00,0.034176,8892
2015-01-01 08:50:00,0.039953,11126
2015-01-01 09:00:00,0.044612,13204
2015-01-01 09:10:00,0.04012,15224
2015-01-01 09:20:00,0.034201,16439
2015-01-01 09:30:00,0.035873,17981
2015-01-01 09:40:00,0.037756,19279
2015-01-01 09:50:00,0.035009,19593
2015-01-01 10:00:00,0.041295,20166
2015-01-01 10:10:00,0.042552,20544
2015-01-01 10:20:00,0.03715,20170
2015-01-01 10:30:00,0.043587,20615
2015-01-01 10:40:00,0.039124,20638
2015-01-01 10:50:00,0.044529,19489
2015-01-01 11:00:00,0.050326,19438
2015-01-01 11:10:00,0.049614,18410
2015-01-01 11:20:00,0.053097,17495
2015-01-01 11:30:00,0.055364,16654
2015-01-01 11:40:00,0.051403,15102
2015-01-01 11:50:00,0.045454,13230
2015-01-01 12:00:00,0.041926,11671
2015-01-01 12:10:00,0.044446,9490
2015-01-01 12:20:00,0.039673,8616
2015-01-01 12:30:00,0.048067,8731
2015-01-01 12:40:00,0.043371,8548
2015-01-01 12:50:00,0.050023,8803
2015-01-01 13:00:00,0.049067,9589
2015-01-01 13:10:00,0.058868,10322
2015-01-01 13:20:00,0.041711,10715
2015-01-01 13:30:00,0.04815,11377
2015-01-01 13:40:00,0.051665,11394
2015-01-01 13:50:00,0.046595,12484
2015-01-01 14:00:00,0.047036,12142
2015-01-01 14:10:00,0.050223,12299
2015-01-01 14:20:00,0.040848,12776
2015-01-01 14:30:00,0.044778,13639
2015-01-01 14:40:00,0.039924,13176
2015-01-01 14:50:00,0.038789,12694
2015-01-01 15:00:00,0.037044,12105
2015-01-01 15:10:00,0.036632,12467
2015-01-01 15:20:00,0.039513,12308
2015-01-01 15:30:00,0.038226,11340
2015-01-01 15:40:00,0.041676,11087
2015-01-01 15:50:00,0.046973,10454
2015-01-01 16:00:00,0.041837,10455
2015-01-01 16:10:00,0.052472,9842
2015-01-01 16:20:00,0.04771,9793
2015-01-01 16:30:00,0.037552,9410
2015-01-01 16:40:00,0.03508,9695
2015-01-01 16:50:00,0.035302,8350
2015-01-01 17:00:00,0.030323,8603
2015-01-01 17:10:00,0.029452,8082
2015-01-01 17:20:00,0.031263,7298
2015-01-01 17:30:00,0.02905,6153
2015-01-01 17:40:00,0.023921,5189
2015-01-01 17:50:00,0.023506,4873
2015-01-01 18:00:00,0.025729,4462
2015-01-01 18:10:00,0.023221,4106
2015-01-01 18:20:00,0.02261,3788
2015-01-01 18:30:00,0.02388,3144
2015-01-01 18:40:00,0.025946,3246
2015-01-01 18:50:00,0.022907,3375
2015-01-01 19:00:00,0.024811,3255
2015-01-01 19:10:00,0.022746,3285
2015-01-01 19:20:00,0.023427,3376
2015-01-01 19:30:00,0.024121,3246
2015-01-01 19:40:00,0.023246,2897
2015-01-01 19:50:00,0.023408,2750
2015-01-01 20:00:00,0.024764,2760
2015-01-01 20:10:00,0.023373,2533
2015-01-01 20:20:00,0.023119,2532
2015-01-01 20:30:00,0.024655,2459
2015-01-01 20:40:00,0.024191,2302
2015-01-01 20:50:00,0.025151,2069
2015-01-01 21:00:00,0.023499,2345
2015-01-01 21:10:00,0.022053,2297
2015-01-01 21:20:00,0.022402,2272
2015-01-01 21:30:00,0.023485,2055
2015-01-01 21:40:00,0.021223,1893
2015-01-01 21:50:00,0.021285,1843
2015-01-01 22:00:00,0.022523,1660
2015-01-01 22:10:00,0.020954,1727
2015-01-01 22:20:00,0.021309,1509
2015-01-01 22:30:00,0.024214,1544
2015-01-01 22:40:00,0.020176,1360
2015-01-01 22:50:00,0.020577,1419
2015-01-01 23:00:00,0.020853,1248
2015-01-01 23:10:00,0.019515,1207
2015-01-01 23:20:00,0.023484,1029
2015-01-01 23:30:00,0.026493,694
2015-01-01 23:40:00,0.027777,514
2015-01-01 23:50:00,0.026141,418
2015-01-02 00:00:00,0.027013,657
2015-01-02 00:10:00,0.027703,472
